Concepto;Sub concepto;Año_Recaudo;Mes; Monto 
Impuestos Sobre La Propiedad ;Impuestos sobre los Activos (Empresas);2017;Enero; 137,149,733.86 
Impuestos Sobre La Propiedad ;Imp. S/Prop. Inmobiliaria (Persona Física);2017;Enero; 62,499,301.73 
Impuestos Sobre La Propiedad ;Impuesto Sobre Sucesiones y Donaciones;2017;Enero; 37,359,912.59 
Impuestos Sobre La Propiedad ;Impuesto Sobre los Activos Financieros(Ley139-11);2017;Enero; 12,193.65 
Impuestos Sobre La Propiedad ;Imp. Sobre Traspaso Vehículos de Motor;2017;Enero; 83,053,225.60 
Impuestos Sobre La Propiedad ;Constitución de Cias;2017;Enero; 32,854,775.54 
Impuestos Sobre La Propiedad ;Impuestos S/Cheques y Transf. Bancarias;2017;Enero; 466,179,859.97 
Impuestos Sobre La Propiedad ;Actos Traslativos;2017;Enero; -   
Impuestos Sobre La Propiedad ;Accesorios sobre la Propiedad;2017;Enero; 79,921,637.19 
Impuestos Sobre Los Bienes Y Servicios ;ITBIS;2017;Enero; 9,444,630,897.29 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuestos SelectivosProd derivados del Alcohol;2017;Enero; 990,629,792.97 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo a las cervezas;2017;Enero; 1,450,918,213.20 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo al Tabaco;2017;Enero; 615,275,768.98 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos 16% Ad-Valorem;2017;Enero; 1,226,991,254.77 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos Específico;2017;Enero; 2,710,914,817.15 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/Ss. De Telecomunicaciones;2017;Enero; 584,803,747.74 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/ los Seguros;2017;Enero; 481,080,549.76 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Otros;2017;Enero; 7,319,729.68 
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp. Inscripción Vehículos (Primera Placa);2017;Enero; 894,950,448.03 
Impuestos Sobre El Uso De Bienes Y Licencias ;Derecho de Circulación Vehículos de Motor;2017;Enero; 709,351,232.00 
Impuestos Sobre El Uso De Bienes Y Licencias ;Impuesto Sobre Tramitación de Documentos;2017;Enero; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Licencias para portar Armas de Fuego;2017;Enero; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp Específico Bancas (Lotería y Deportivas);2017;Enero; 108,491,131.11 
Impuestos Sobre El Uso De Bienes Y Licencias ;Otros;2017;Enero; 19,216.57 
Accesorios Sobre Impuestos Internos A Mercancías Y Servicios  ;Accesorios Sobre Impuestos Internos a Mercancías y Servicios;2017;Enero; 98,469,916.07 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Salida de Pasajeros al Exterior por Aeropuertos;2017;Enero; 593,277,425.79 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Derechos Consulares ;2017;Enero; -   
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Otros;2017;Enero; 19,250.00 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Accesorios de Impuestos Sobre el Comercio Exterior;2017;Enero; -   
Impuestos Ecológicos ;Impuesto Emisiones CO2;2017;Enero; 64,249,996.13 
Ingresos Por Contraprestación  ;Ventas de Bienes y Servicios;2017;Enero; -   
Ingresos Por Contraprestación  ;Tasas Tarjetas de Turismo;2017;Enero; 184,706,753.81 
Ingresos Por Contraprestación  ;Derechos Administrativos;2017;Enero; 5,254,789.80 
Ingresos Por Contraprestación  ;Accesorios de Derechos Administrativos;2017;Enero; -   
Otros  Ingresos ;Regalía Neta de Fundición Minera (RNF);2017;Enero; 188,220,425.53 
Otros  Ingresos ;Multas y Sanciones;2017;Enero; 7,089,923.60 
Otros  Ingresos ;Ingresos Diversos;2017;Enero; 2,680,730.56 
Otros  Ingresos ;Contribución GLP;2017;Enero; -   
Otros  Ingresos ;Otros;2017;Enero; 147,164.53 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de las Personas Físicas Ley 11-92;2017;Febrero; 103,127,166.13 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de los Salarios Ley 11-92;2017;Febrero; 2,714,963,461.47 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Prestación Serv. Grales.;2017;Febrero; 254,214,987.29 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención sobre Premios;2017;Febrero; 16,270,437.51 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Alquileres y Arrendamientos;2017;Febrero; 47,393,459.92 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Retribuciones Complementarias;2017;Febrero; 116,143,198.78 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Intereses Personas Físicas;2017;Febrero; 339,440,475.90 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Renta de las Empresas Ley 11-92;2017;Febrero; 4,175,712,856.49 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Mínimo Anual Minero;2017;Febrero; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Utilidades Mineras (PUN);2017;Febrero; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Ley 139-11;2017;Febrero; 43,340,701.96 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Comerciales;2017;Febrero; 56,865,696.65 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Casinos de Juego;2017;Febrero; 20,242,524.50 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto por Juegos Telefónicos;2017;Febrero; 1,939,476.39 
Impuestos De Las Empresas Y Otras Corporaciones ;Hipodromos;2017;Febrero; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Retención de 1%S/ Ganancias de Capital (Ley 139-11);2017;Febrero; 3,810,378.66 
Impuestos De Las Empresas Y Otras Corporaciones ;Retención Intereses Personas Jurídicas;2017;Febrero; 10,302,372.53 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Dividendos;2017;Febrero; 155,001,736.32 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Intereses Pagados o Acreditados en el Exterior;2017;Febrero; 119,977,517.35 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Pagos al Exterior en General;2017;Febrero; 653,346,558.77 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Imp S/Ventas de Bancas (Lotería y Deportivas);2017;Febrero; 20,138,678.00 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Impuesto sobre Maq Tragamonedas;2017;Febrero; 52,465,848.50 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Provisión de Bs. y Ss. Al Estado;2017;Febrero; 369,689,805.98 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otras Retenciones;2017;Febrero; 48,046,949.97 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otros;2017;Febrero; 56,756,023.58 
Accesorios Sobre Los Impuestos A Los Ingresos ;Accesorios Sobre los Impuestos a los Ingresos;2017;Febrero; 92,111,707.40 
Impuestos Sobre La Propiedad ;Operaciones Inmobiliarias;2017;Febrero; 439,190,684.33 
Impuestos Sobre La Propiedad ;Impuestos sobre los Activos (Empresas);2017;Febrero; 80,746,125.14 
Impuestos Sobre La Propiedad ;Imp. S/Prop. Inmobiliaria (Persona Física);2017;Febrero; 142,393,099.17 
Impuestos Sobre La Propiedad ;Impuesto Sobre Sucesiones y Donaciones;2017;Febrero; 46,919,777.03 
Impuestos Sobre La Propiedad ;Impuesto Sobre los Activos Financieros(Ley139-11);2017;Febrero; 9,981.38 
Impuestos Sobre La Propiedad ;Imp. Sobre Traspaso Vehículos de Motor;2017;Febrero; 81,651,009.33 
Impuestos Sobre La Propiedad ;Constitución de Cias;2017;Febrero; 30,871,582.78 
Impuestos Sobre La Propiedad ;Impuestos S/Cheques y Transf. Bancarias;2017;Febrero; 515,472,329.75 
Impuestos Sobre La Propiedad ;Actos Traslativos;2017;Febrero; -   
Impuestos Sobre La Propiedad ;Accesorios sobre la Propiedad;2017;Febrero; 105,132,608.66 
Impuestos Sobre Los Bienes Y Servicios ;ITBIS;2017;Febrero; 7,398,104,147.29 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuestos SelectivosProd derivados del Alcohol;2017;Febrero; 672,445,291.61 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo a las cervezas;2017;Febrero; 891,875,316.24 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo al Tabaco;2017;Febrero; 157,742,607.24 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos 16% Ad-Valorem;2017;Febrero; 1,386,153,989.86 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos Específico;2017;Febrero; 3,185,740,146.20 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/Ss. De Telecomunicaciones;2017;Febrero; 551,896,375.77 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/ los Seguros;2017;Febrero; 406,276,307.98 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Otros;2017;Febrero; 7,741,434.51 
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp. Inscripción Vehículos (Primera Placa);2017;Febrero; 777,451,268.84 
Impuestos Sobre El Uso De Bienes Y Licencias ;Derecho de Circulación Vehículos de Motor;2017;Febrero; 60,340,807.00 
Impuestos Sobre El Uso De Bienes Y Licencias ;Impuesto Sobre Tramitación de Documentos;2017;Febrero; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Licencias para portar Armas de Fuego;2017;Febrero; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp Específico Bancas (Lotería y Deportivas);2017;Febrero; 108,524,776.17 
Impuestos Sobre El Uso De Bienes Y Licencias ;Otros;2017;Febrero; 34,201.04 
Accesorios Sobre Impuestos Internos A Mercancías Y Servicios  ;Accesorios Sobre Impuestos Internos a Mercancías y Servicios;2017;Febrero; 77,547,755.87 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Salida de Pasajeros al Exterior por Aeropuertos;2017;Febrero; 560,966,244.81 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Derechos Consulares ;2017;Febrero; -   
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Otros;2017;Febrero; 1,921,338.00 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Accesorios de Impuestos Sobre el Comercio Exterior;2017;Febrero; -   
Impuestos Ecológicos ;Impuesto Emisiones CO2;2017;Febrero; 57,204,730.98 
Ingresos Por Contraprestación  ;Ventas de Bienes y Servicios;2017;Febrero; -   
Ingresos Por Contraprestación  ;Tasas Tarjetas de Turismo;2017;Febrero; 181,531,748.51 
Ingresos Por Contraprestación  ;Derechos Administrativos;2017;Febrero; 5,103,564.00 
Ingresos Por Contraprestación  ;Accesorios de Derechos Administrativos;2017;Febrero; -   
Otros  Ingresos ;Regalía Neta de Fundición Minera (RNF);2017;Febrero; 154,220,072.55 
Otros  Ingresos ;Multas y Sanciones;2017;Febrero; 8,171,060.71 
Otros  Ingresos ;Ingresos Diversos;2017;Febrero; 5,083,365.53 
Otros  Ingresos ;Contribución GLP;2017;Febrero; -   
Otros  Ingresos ;Otros;2017;Febrero; 193,608.17 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de las Personas Físicas Ley 11-92;2017;Marzo; 489,767,732.47 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de los Salarios Ley 11-92;2017;Marzo; 2,737,925,593.50 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Prestación Serv. Grales.;2017;Marzo; 272,257,144.74 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención sobre Premios;2017;Marzo; 41,743,871.27 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Alquileres y Arrendamientos;2017;Marzo; 67,108,314.26 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Retribuciones Complementarias;2017;Marzo; 97,499,025.65 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Intereses Personas Físicas;2017;Marzo; 280,498,394.34 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Renta de las Empresas Ley 11-92;2017;Marzo; 4,041,833,552.32 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Mínimo Anual Minero;2017;Marzo; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Utilidades Mineras (PUN);2017;Marzo; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Ley 139-11;2017;Marzo; 38,368,245.88 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Comerciales;2017;Marzo; 50,192,268.26 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Casinos de Juego;2017;Marzo; 24,451,382.30 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto por Juegos Telefónicos;2017;Marzo; 4,029,983.57 
Impuestos De Las Empresas Y Otras Corporaciones ;Hipodromos;2017;Marzo; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Retención de 1%S/ Ganancias de Capital (Ley 139-11);2017;Marzo; 4,163,239.15 
Impuestos De Las Empresas Y Otras Corporaciones ;Retención Intereses Personas Jurídicas;2017;Marzo; 12,274,906.89 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Dividendos;2017;Marzo; 276,496,451.90 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Intereses Pagados o Acreditados en el Exterior;2017;Marzo; 77,106,385.11 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Pagos al Exterior en General;2017;Marzo; 916,890,884.38 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Imp S/Ventas de Bancas (Lotería y Deportivas);2017;Marzo; 18,947,022.23 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Impuesto sobre Maq Tragamonedas;2017;Marzo; 78,532,030.69 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Provisión de Bs. y Ss. Al Estado;2017;Marzo; 480,683,677.41 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otras Retenciones;2017;Marzo; 62,450,159.53 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otros;2017;Marzo; 57,276,538.35 
Accesorios Sobre Los Impuestos A Los Ingresos ;Accesorios Sobre los Impuestos a los Ingresos;2017;Marzo; 100,239,574.83 
Impuestos Sobre La Propiedad ;Operaciones Inmobiliarias;2017;Marzo; 505,704,188.09 
Impuestos Sobre La Propiedad ;Impuestos sobre los Activos (Empresas);2017;Marzo; 114,995,736.87 
Impuestos Sobre La Propiedad ;Imp. S/Prop. Inmobiliaria (Persona Física);2017;Marzo; 703,886,324.63 
Impuestos Sobre La Propiedad ;Impuesto Sobre Sucesiones y Donaciones;2017;Marzo; 34,077,187.05 
Impuestos Sobre La Propiedad ;Impuesto Sobre los Activos Financieros(Ley139-11);2017;Marzo; 15,984.00 
Impuestos Sobre La Propiedad ;Imp. Sobre Traspaso Vehículos de Motor;2017;Marzo; 98,560,855.49 
Impuestos Sobre La Propiedad ;Constitución de Cias;2017;Marzo; 81,530,107.98 
Impuestos Sobre La Propiedad ;Impuestos S/Cheques y Transf. Bancarias;2017;Marzo; 667,768,176.88 
Impuestos Sobre La Propiedad ;Actos Traslativos;2017;Marzo; -   
Impuestos Sobre La Propiedad ;Accesorios sobre la Propiedad;2017;Marzo; 138,871,132.38 
Impuestos Sobre Los Bienes Y Servicios ;ITBIS;2017;Marzo; 7,336,292,756.44 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuestos SelectivosProd derivados del Alcohol;2017;Marzo; 219,753,500.18 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo a las cervezas;2017;Marzo; 891,122,870.30 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo al Tabaco;2017;Marzo; 263,227,529.07 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos 16% Ad-Valorem;2017;Marzo; 1,775,424,285.51 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos Específico;2017;Marzo; 3,700,143,508.10 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/Ss. De Telecomunicaciones;2017;Marzo; 554,027,933.36 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto S/ los Seguros;2017;Marzo; 379,843,610.26 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Otros;2017;Marzo; 13,540,545.82 
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp. Inscripción Vehículos (Primera Placa);2017;Marzo; 819,295,387.51 
Impuestos Sobre El Uso De Bienes Y Licencias ;Derecho de Circulación Vehículos de Motor;2017;Marzo; 46,188,630.00 
Impuestos Sobre El Uso De Bienes Y Licencias ;Impuesto Sobre Tramitación de Documentos;2017;Marzo; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Licencias para portar Armas de Fuego;2017;Marzo; -   
Impuestos Sobre El Uso De Bienes Y Licencias ;Imp Específico Bancas (Lotería y Deportivas);2017;Marzo; 105,288,229.74 
Impuestos Sobre El Uso De Bienes Y Licencias ;Otros;2017;Marzo; 17,768.05 
Accesorios Sobre Impuestos Internos A Mercancías Y Servicios  ;Accesorios Sobre Impuestos Internos a Mercancías y Servicios;2017;Marzo; 64,539,163.44 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Salida de Pasajeros al Exterior por Aeropuertos;2017;Marzo; 567,411,651.01 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Derechos Consulares ;2017;Marzo; -   
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Otros;2017;Marzo; 128,723.00 
Impuestos S/El Comercio Y Las Transacciones Comercio Exterior  ;Accesorios de Impuestos Sobre el Comercio Exterior;2017;Marzo; -   
Impuestos Ecológicos ;Impuesto Emisiones CO2;2017;Marzo; 60,654,304.33 
Ingresos Por Contraprestación  ;Ventas de Bienes y Servicios;2017;Marzo; -   
Ingresos Por Contraprestación  ;Tasas Tarjetas de Turismo;2017;Marzo; 194,769,720.67 
Ingresos Por Contraprestación  ;Derechos Administrativos;2017;Marzo; 6,485,831.00 
Ingresos Por Contraprestación  ;Accesorios de Derechos Administrativos;2017;Marzo; -   
Otros  Ingresos ;Regalía Neta de Fundición Minera (RNF);2017;Marzo; 120,214,134.78 
Otros  Ingresos ;Multas y Sanciones;2017;Marzo; 15,045,479.29 
Otros  Ingresos ;Ingresos Diversos;2017;Marzo; 3,085,358.35 
Otros  Ingresos ;Contribución GLP;2017;Marzo; -   
Otros  Ingresos ;Otros;2017;Marzo; 229,166.07 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de las Personas Físicas Ley 11-92;2017;Abril; 66,209,085.11 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de los Salarios Ley 11-92;2017;Abril; 2,420,734,580.47 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Prestación Serv. Grales.;2017;Abril; 298,136,520.05 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención sobre Premios;2017;Abril; 38,986,265.57 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Alquileres y Arrendamientos;2017;Abril; 51,141,370.24 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Retribuciones Complementarias;2017;Abril; 98,607,729.93 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Intereses Personas Físicas;2017;Abril; 296,594,334.20 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Renta de las Empresas Ley 11-92;2017;Abril; 10,451,681,284.65 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Mínimo Anual Minero;2017;Abril; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Utilidades Mineras (PUN);2017;Abril; 2,644,530,714.27 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Ley 139-11;2017;Abril; 36,438,406.45 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Comerciales;2017;Abril; 56,867,822.97 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Casinos de Juego;2017;Abril; 19,140,709.79 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto por Juegos Telefónicos;2017;Abril; 5,481,719.42 
Impuestos De Las Empresas Y Otras Corporaciones ;Hipodromos;2017;Abril; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Retención de 1%S/ Ganancias de Capital (Ley 139-11);2017;Abril; 5,032,052.69 
Impuestos De Las Empresas Y Otras Corporaciones ;Retención Intereses Personas Jurídicas;2017;Abril; 13,089,430.42 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Dividendos;2017;Abril; 267,769,613.86 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Intereses Pagados o Acreditados en el Exterior;2017;Abril; 91,691,063.93 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Pagos al Exterior en General;2017;Abril; 779,982,038.43 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Imp S/Ventas de Bancas (Lotería y Deportivas);2017;Abril; 18,260,626.80 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Impuesto sobre Maq Tragamonedas;2017;Abril; 52,102,257.10 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Provisión de Bs. y Ss. Al Estado;2017;Abril; 359,454,135.73 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otras Retenciones;2017;Abril; 69,560,943.33 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otros;2017;Abril; 67,169,103.54 
Accesorios Sobre Los Impuestos A Los Ingresos ;Accesorios Sobre los Impuestos a los Ingresos;2017;Abril; 75,510,771.91 
Impuestos Sobre La Propiedad ;Operaciones Inmobiliarias;2017;Abril; 368,885,834.29 
Impuestos Sobre La Propiedad ;Impuestos sobre los Activos (Empresas);2017;Abril; 871,366,863.64 
Impuestos Sobre La Propiedad ;Imp. S/Prop. Inmobiliaria (Persona Física);2017;Abril; 90,489,132.18 
Impuestos Sobre La Propiedad ;Impuesto Sobre Sucesiones y Donaciones;2017;Abril; 28,900,680.92 
Impuestos Sobre La Propiedad ;Impuesto Sobre los Activos Financieros(Ley139-11);2017;Abril; 15,507.20 
Impuestos Sobre La Propiedad ;Imp. Sobre Traspaso Vehículos de Motor;2017;Abril; 77,850,744.41 
Impuestos Sobre La Propiedad ;Constitución de Cias;2017;Abril; 78,447,722.20 
Impuestos Sobre La Propiedad ;Impuestos S/Cheques y Transf. Bancarias;2017;Abril; 497,975,053.77 
Impuestos Sobre La Propiedad ;Actos Traslativos;2017;Abril; -   
Impuestos Sobre La Propiedad ;Accesorios sobre la Propiedad;2017;Abril; 101,736,182.36 
Impuestos Sobre Los Bienes Y Servicios ;ITBIS;2017;Abril; 8,005,813,718.08 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuestos SelectivosProd derivados del Alcohol;2017;Abril; 351,752,563.15 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo a las cervezas;2017;Abril; 1,183,855,960.99 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Impuesto Selectivo al Tabaco;2017;Abril; 336,314,365.20 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos 16% Ad-Valorem;2017;Abril; 1,185,808,501.88 
Impuestos Adicionales y Selectivos Sobre Bienes y Servicios;Hidrocarburos Específico;2017;Abril; 2,709,345,895.04 
